From Year,To Year,Number of Results
1900,1900,"About 50,400 results"
1901,1901,"About 57,100 results"
1902,1902,"About 1,15,000 results"
1903,1903,"About 64,900 results"
1904,1904,"About 72,500 results"
1905,1905,"About 53,900 results"
1906,1906,"About 87,000 results"
1907,1907,"About 65,300 results"
1908,1908,"About 1,10,000 results"
1909,1909,"About 73,200 results"
1910,1910,"About 84,300 results"
1911,1911,"About 78,400 results"
1912,1912,"About 70,900 results"
1913,1913,"About 91,500 results"
1914,1914,"About 97,500 results"
1915,1915,"About 78,200 results"
1916,1916,"About 72,500 results"
1917,1917,"About 99,300 results"
1918,1918,"About 74,700 results"
1919,1919,"About 82,500 results"
1920,1920,"About 89,300 results"
1921,1921,"About 99,100 results"
1922,1922,"About 84,400 results"
1923,1923,"About 54,600 results"
1924,1924,"About 51,900 results"
1925,1925,"About 49,000 results"
1926,1926,"About 45,900 results"
1927,1927,"About 41,400 results"
1928,1928,"About 41,100 results"
1929,1929,"About 43,300 results"
1930,1930,"About 52,100 results"
1931,1931,"About 46,200 results"
1932,1932,"About 46,500 results"
1933,1933,"About 39,600 results"
1934,1934,"About 43,300 results"
1935,1935,"About 41,700 results"
1936,1936,"About 39,300 results"
1937,1937,"About 40,100 results"
1938,1938,"About 41,000 results"
1939,1939,"About 41,500 results"
1940,1940,"About 36,100 results"
1941,1941,"About 40,900 results"
1942,1942,"About 49,100 results"
1943,1943,"About 45,100 results"
1944,1944,"About 43,000 results"
1945,1945,"About 45,100 results"
1946,1946,"About 55,500 results"
1947,1947,"About 55,300 results"
1948,1948,"About 59,900 results"
1949,1949,"About 55,700 results"
1950,1950,"About 63,700 results"
1951,1951,"About 62,600 results"
1952,1952,"About 61,300 results"
1953,1953,"About 58,800 results"
1954,1954,"About 54,800 results"
1955,1955,"About 56,900 results"
1956,1956,"About 65,100 results"
1957,1957,"About 67,200 results"
1958,1958,"About 60,400 results"
1959,1959,"About 64,300 results"
1960,1960,"About 72,600 results"
1961,1961,"About 70,900 results"
1962,1962,"About 82,100 results"
1963,1963,"About 79,400 results"
1964,1964,"About 87,100 results"
1965,1965,"About 92,500 results"
1966,1966,"About 1,02,000 results"
1967,1967,"About 1,43,000 results"
1968,1968,"About 1,90,000 results"
1969,1969,"About 1,64,000 results"
1970,1970,"About 1,56,000 results"
1971,1971,"About 1,32,000 results"
1972,1972,"About 1,45,000 results"
1973,1973,"About 2,13,000 results"
1974,1974,"About 2,66,000 results"
1975,1975,"About 2,33,000 results"
1976,1976,"About 1,88,000 results"
1977,1977,"About 2,65,000 results"
1978,1978,"About 2,10,000 results"
1979,1979,"About 2,82,000 results"
1980,1980,"About 2,70,000 results"
1981,1981,"About 2,04,000 results"
1982,1982,"About 2,30,000 results"
1983,1983,"About 2,46,000 results"
1984,1984,"About 2,97,000 results"
1985,1985,"About 3,17,000 results"
1986,1986,"About 2,58,000 results"
1987,1987,"About 2,77,000 results"
1988,1988,"About 3,33,000 results"
1989,1989,"About 3,60,000 results"
1990,1990,"About 3,67,000 results"
1991,1991,"About 3,51,000 results"
1992,1992,"About 3,47,000 results"
1993,1993,"About 3,77,000 results"
1994,1994,"About 4,10,000 results"
1995,1995,"About 4,30,000 results"
1996,1996,"About 3,85,000 results"
1997,1997,"About 4,15,000 results"
1998,1998,"About 3,77,000 results"
1999,1999,"About 3,91,000 results"
2000,2000,"About 4,47,000 results"
2001,2001,"About 4,25,000 results"
2002,2002,"About 4,18,000 results"
2003,2003,"About 4,72,000 results"
2004,2004,"About 4,79,000 results"
2005,2005,"About 4,94,000 results"
2006,2006,"About 5,15,000 results"
2007,2007,"About 5,68,000 results"
2008,2008,"About 4,81,000 results"
2009,2009,"About 4,14,000 results"
2010,2010,"About 8,81,000 results"
2011,2011,"About 12,80,000 results"
2012,2012,"About 23,50,000 results"
2013,2013,"About 14,80,000 results"
2014,2014,"About 97,40,000 results"
2015,2015,"About 1,22,00,000 results"
2016,2016,"About 1,19,00,000 results"
2017,2017,"About 1,19,00,000 results"
2018,2018,"About 1,19,00,000 results"
2019,2019,"About 1,19,00,000 results"
2020,2020,"About 1,19,00,000 results"
